新闻频道,#genre#
CCTV4,http://117.148.179.182/PLTV/88888888/224/3221231726/index.m3u8
CCTV4,http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8
CCTV4,http://117.148.179.160/PLTV/88888888/224/3221231654/index.m3u8
CCTV5,http://117.148.179.142/PLTV/88888888/224/3221232440/index.m3u8
CCTV5+,http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8
CCTV5+,http://117.148.179.139/PLTV/88888888/224/3221231535/index.m3u8
CCTV6,http://117.148.179.153/PLTV/88888888/224/3221231724/index.m3u8
CCTV7,http://117.148.179.160/PLTV/88888888/224/3221231633/index.m3u8
CCTV8,http://117.148.179.160/PLTV/88888888/224/3221231694/index.m3u8
CCTV9,http://117.148.179.162/PLTV/88888888/224/3221231697/index.m3u8
CCTV10,http://117.148.179.164/PLTV/88888888/224/3221232492/index.m3u8
CCTV10,http://117.148.179.175/PLTV/88888888/224/3221231666/index.m3u8
CCTV11,http://117.148.179.164/PLTV/88888888/224/3221231711/index.m3u8
CCTV12,http://117.148.179.150/PLTV/88888888/224/3221231660/index.m3u8
CCTV13,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
CCTV15,http://117.148.179.169/PLTV/88888888/224/3221231693/index.m3u8
CCTV17,http://117.148.179.167/PLTV/88888888/224/3221231772/index.m3u8
怀旧剧场,http://117.148.179.158/PLTV/88888888/224/3221231544/index.m3u8
第一剧场,http://117.148.179.172/PLTV/88888888/224/3221231540/index.m3u8
风云剧场,http://117.148.179.162/PLTV/88888888/224/3221231604/index.m3u8
风云足球,http://117.148.179.137/PLTV/88888888/224/3221231547/index.m3u8
世界地理,http://117.148.179.156/PLTV/88888888/224/3221231537/index.m3u8
湖南卫视,http://117.148.179.172/PLTV/88888888/224/3221231729/index.m3u8
湖南卫视,http://117.148.179.135/PLTV/88888888/224/3221230206/index.m3u8
湖南卫视,http://117.148.179.148/PLTV/88888888/224/3221230824/index.m3u8
江苏卫视,http://117.148.179.175/PLTV/88888888/224/3221231447/index.m3u8
浙江卫视,http://117.148.179.140/PLTV/88888888/224/3221229352/index.m3u8
浙江卫视,http://117.148.179.136/PLTV/88888888/224/3221231567/index.m3u8
东方卫视,http://117.148.179.160/PLTV/88888888/224/3221231738/index.m3u8
东方卫视,http://117.148.179.167/PLTV/88888888/224/3221231450/index.m3u8
广东卫视,http://117.148.179.141/PLTV/88888888/224/3221231891/index.m3u8
广东卫视,http://117.148.179.159/PLTV/88888888/224/3221231502/index.m3u8
北京卫视,http://117.148.179.168/PLTV/88888888/224/3221231732/index.m3u8
天津卫视,http://117.148.179.146/PLTV/88888888/224/3221228905/index.m3u8
山东卫视,http://117.148.179.137/PLTV/88888888/224/3221227909/index.m3u8
湖北卫视,http://117.148.179.142/PLTV/88888888/224/3221231888/index.m3u8
湖北卫视,http://117.148.179.134/PLTV/88888888/224/3221231523/index.m3u8
黑龙江卫视,http://117.148.179.141/PLTV/88888888/224/3221231967/index.m3u8
